Character Id	Name	Gender	Movie Id	# Words
u0	BIANCA	f	m0	959
u1	BRUCE	?	m0	23
u2	CAMERON	m	m0	527
u3	CHASTITY	?	m0	63
u4	JOEY	m	m0	278
u5	KAT	f	m0	1217
u6	MANDELLA	f	m0	157
u7	MICHAEL	m	m0	628
u8	MISS PERKY	?	m0	157
u9	PATRICK	m	m0	1027
u10	SHARON	?	m0	47
u11	WALTER	m	m0	366
u12	ALONSO	?	m1	79
u13	AROJAZ	?	m1	179
u14	BEATRIX	?	m1	75
u15	BOBADILLA	?	m1	67
u16	COLUMBUS	m	m1	1268
u17	FERNANDO	?	m1	78
u18	ISABEL	?	m1	194
u19	MARCHENA	m	m1	206
u20	MENDEZ	?	m1	49
u21	MOXICA	?	m1	61
u22	PINZON	?	m1	58
u23	SAILOR	?	m1	29
u24	SANCHEZ	?	m1	274
u25	UTAPAN	?	m1	45
u26	CUTLER	m	m2	219
u27	DAPHNE	f	m2	369
u28	DUFFY	?	m2	324
u29	EDDIE	m	m2	1497
u30	EMIL	m	m2	1070
u31	HAWKINS	?	m2	252
u32	HONEY	?	m2	148
u33	IMMIGRATION OFFICER	?	m2	159
u34	JORDY	m	m2	1183
u35	KORFIN	m	m2	169
u36	LEON	?	m2	131
u37	MAGGIE	?	m2	20
u38	MAX	?	m2	34
u39	MILOS	?	m2	78
u40	MUGGER	?	m2	53
u41	NICOLETTE	f	m2	436
u42	OLEG	m	m2	357
u43	ROBERT HAWKINS	?	m2	78
u44	ROSE	?	m2	118
u45	SECONDARY OFFICER	?	m2	39
u46	STEPHEN GELLER	?	m2	139
u47	TOMMY	?	m2	27
u48	VENDOR	?	m2	69
u49	B20	?	m3	11
u50	BOWMAN	m	m3	523
u51	C12	?	m3	6
u52	CHILD	?	m3	48
u53	CO-PILOT	?	m3	47
u54	ELENA	?	m3	79
u55	FLOYD	?	m3	548
u56	HAL	m	m3	534
u57	MICHAELS	?	m3	119
u58	MILLER	?	m3	77
u59	PILOT	?	m3	265
u60	POOLE	m	m3	548
u61	SMYSLOV	?	m3	189
u62	ATTENDANT	?	m4	33
u63	BARTENDER	?	m4	56
u64	BILLY	?	m4	63
u65	CANDY	?	m4	97
u66	CASEY	?	m4	62
u67	CATES	m	m4	2520
u68	ELAINE	f	m4	672
u69	GANZ	?	m4	247
u70	HADEN	?	m4	264
u71	HAMMOND	m	m4	2029
u72	HENRY	?	m4	14
u73	KEHOE	?	m4	180
u74	LISA	?	m4	24
u75	LUTHER	?	m4	147
u76	SOSNA	?	m4	51
u77	YOUNG COP	?	m4	59
u78	CORNELIUS	m	m5	613
u79	DAVID	?	m5	83
u80	DIVA	?	m5	91
u81	FINGER	?	m5	110
u82	GIRL	?	m5	23
u83	KOMMANDER	?	m5	33
u84	KORBEN	m	m5	1154
u85	LEELOO	f	m5	233
u86	LOC RHOD	?	m5	238
u87	MACTILBURGH	?	m5	151
u88	MOTHER	?	m5	129
u89	MUGGER	?	m5	18
u90	MUNRO	?	m5	243
u91	PRESIDENT	?	m5	198
u92	PRIEST	?	m5	54
u93	PROFESSOR	?	m5	47
u94	SECRETARY	?	m5	26
u95	SHADOW	?	m5	27
u96	STAEDERT	?	m5	74
u97	THAI	?	m5	60
u98	VOICE	?	m5	27
u99	ZORG	?	m5	267
u100	AMY	f	m6	202
u101	ANGRY DEALER	?	m6	35
u102	DINO	?	m6	92
u103	DINO VELVET	m	m6	272
u104	DIRECTOR	?	m6	123
u105	EDDIE	m	m6	590
u106	LONGDALE	m	m6	234
u107	MALE VOICE	?	m6	77
u108	MAX	m	m6	1089
u109	MRS CHRISTIAN	M	m6	658
u110	MRS MATHEWS	M	m6	404
u111	NUN	?	m6	84
u112	POLITICIAN	?	m6	24
u113	SALESPERSON	?	m6	52
u114	WELLES	m	m6	3443
u115	ALICE	f	m7	462
u116	DAN	m	m7	187
u117	DEBBIE	?	m7	32
u118	ELAINE	?	m7	37
u119	KRISTEN	?	m7	229
u120	NURSE	?	m7	18
u121	RICK	?	m7	272
