"Gender","character_text"
"m","You look great!  The uniform and everything!"
"m","But there was a lot of firing earlier..."
"m","Enough!  I already know about the data you've intercepted, but its' too late.  Whatever information you've gathered will be destroyed... You will come to know such suffering as only the Master of the Bogan Force can provide..."
"f","You'll get no information from me. You have no authority... the council can't hold me!"
"m","It appears your ship had an accident. I will see to it that your death is duely reported.  There will be no one to save you this time."
"m","But you always said things were so great at the academy... What happened?"
"m","At least you're doing something... I'd give anything to be in your position."
"m","First thing tomorrow morning you're going to check those condensing units on the south ridge."
"m","I will, but I'll have enough time to transmit my application first."
"m","You'll check the condensing unit first... and you're not going to bed until those 'droids' are completely cleaned up..."
"m","But you promised!  I've saved enough money and now you have the extra help ... you promised!"
"m","I said we'd see.  And as it is, I was forced to borrow your academy savings to buy the new 'droids.'  When you've saved it up again, I'll let you go."
"m","You used my savings!  You stole my savings.  If my father were here..."
"m","Your father's dead.  Don't ever forget who's taking care of you, giving you food, giving you shelter, and giving you the allowance in the first place. If you plan to work at the academy the way you work around here, you won't last very long.  I don't want"
"m","Not unless you could get me into the military academy at Anchorhead."
"m","I'm sorry, sir, I'm only a 'droid,' and not very knowledgeable of such things... not on this system anyway. As a matter of fact, I'm not even sure which system we're on."
"m","That's all right.  There is nothing anyone can do about it.  You can call me Luke."
"m","Thank you, sir.  I'm See Threepio, Human Cyborg relations, and this is my counterpart, Artoo Detoo."
"m","There's a lot of carbon scoring here. It looks like you boys have seen a lot of action..."
"m","Indeed, sir, sometimes I'm amazed we're in as good shape as we are, what with the rebellion and all..."
"m","You've been in the Counter Wars?... Against the Empire?"
"m","That's how we came to be in your service, if you take my meaning..."
"m","Tell me where you've been.  I am going to become a startrooper and fight in the wars.  My father was a Jedi!  Were you in many battles?"
"m","Several, I think.  There is not much to tell.  I'm not much more than an interpreter, and not very good at telling stories, not at making them interesting anyway..."
"m","According to my father's tapes, this is the spot where General Kenobi lives, but the instruments just don't match up with the landscape... There is no doubt about it, we're lost..."
"m","If you don't mind my saying so, sir, I don't see how anyone could live in this forsaken place."
"m","Well, I don't know what to do now. We'll just have to head inland and see if we can't find a settlement."
"m","Good morning!"
"m","What do you mean, 'good morning'? Do you mean that it is a good morning for you, or do you wish me a good morning, although it is obvious I'm not having one, or do you find that mornings in general are good?"
"m","All of them altogether. You seem to have gotten yourself into a fine mess!  What happened?"
"m","Sorry, but that was the only way to get you down."
"m","Couldn't we have tried to think of something else first!"
"m","You're lucky those Tuskens didn't boil you before they hung you out to dry.  They're not the friendly sort. You'd best be moving on before they come back."
"m","What happened?  I'm sorry, sir, I must have taken a bad step..."
"m","Can you stand?  We've got to get out of here before those Tuskens come back."
"m","I can't make it.  You go on, master Luke.  It doesn't make sense for you to risk yourself on my account.  I'm done for."
"m","No, you're not.  What kind of talk is that..."
"m","I'm Luke Starkiller, guardian of the Bendu."
"m","Oh, so you're a warrior then?"
"m","Of course.  I'm a Bendu officer."
"m","Who are you anyway?"
"m","You might say I'm part of the landscape here.  They call me Ben Kenobi."
"m","You're General Kenobi?!?  The Jedi knight!  The commander of the White Legions?"
"m","I'm afraid it's been a long time since the White Legions roamed the stars.  But I have the memories."
"m","I don't see why.  I don't believe we've ever met."
"m","I am the son of Annikin Starkiller."
"m","I know who you are.  Stand up so that we can talk properly.  You're embarrassing me.  I'm not that important."
"m","But you are... I know your 'Diary of the Clone Wars' by heart.  My father..."
"m","I... I'm not a Bendu Officer.  I'm not even a startrooper."
"m","I know that."
"m","You saw through me?"
"m","You could put it that way."
"m","I assure you my intentions weren't bad."
"m","I know your intentions.  I probably know much more about you than you realize.  In many ways you're a lot like your father.  He was an indulgent man, but a clever warrior.  Now what brings you out here?"
"m","My father told me many stories about you.  He said if I was ever in trouble, to come here... I need your help."
"m","I'm afraid I've gotten too old for this sort of thing."
"m","But you must!  I can't do it alone. I'm not at all like my father.  I'd never make it."
"m","I already know you think you're worthless.  I recommend you learn to think of yourself in a better light, for what you believe you are is what you become.  I haven't been involved in anything like this for many years."
"m","But the Sith Lords are involved! Whatever information this R-2 unit is carrying, it must be awfully important.  They're probably looking for him... I'm no match for the Sith. This is a Jedi's work.  This is your responsibility!"
"m","Not any more!"
"m","You were right.  It is my responsibility.  The Force of Others brought the message to you and then it brought you to me."
"m","My father used to talk about the Force of Others.  But he never told me what it was..."
"m","Let's just say the Force is something a Jedi Warrior deals with.  It is an energy field in oneself, a power that controls ones acts, yet obeys ones commands.  It is nothing, yet it makes marvels appear before your very eyes. All living things generate thi"
"m","You mean I generate an energy field?"
"m","It surrounds you and radiates from you.  A Jedi can feel it flowing from him...  ... from here!"
"m","Could I learn to feel it?"
"m","That is not a human decision, not your or mine."
"m","What do you mean?"
"m","It means you'd better get some rest. We'll be leaving for Mos Eisley first thing in the morning.  The trip will be difficult and dangerous, but it's the only spaceport with ships large enough to get us to Organa Major.  Now go on!"
"m","Luke, I'm coming along to do what I can, but I'm tired and I'm depending on you to get us through."
"m","But you're still a powerful Jedi. You don't need my help."
"m","A Jedi's power is measured by the amount of the Force that is stored within him, and I have little of the Force left in me."
"m","How can you store an energy field within you?"
"m","When a creature dies, the force it generated remains.  The Force is all around us.  It can be collected and transmitted through the use of a Kiber crystal.  It's the only way to amplify the power of the Force within you."
"m","Don't you have a Kiber crystal?"
"m","I had one, but it was taken at the battle of Condawn..."
"m","That's where my father was killed."
"m","Yes.  It was a black day.  One of my disciple's took the crystal and became a Sith Lord.  It was a black day.  The few crystals that remain are in the possession of the Sith Lords on Alderaan.  That's how they've become so powerful."
"m","Do the Sith know the ways of the Force?"
"m","They use the Bogan Force."
"m","Like Bogan weather, or bogan times. I thought that was just a saying."
